84,MAXX UNLIMITED,-,837930,-,720060,-,-,-,-,-
85,MY SUMMER LOVE(TOMMY'S SMILE MIX),-,,-,,-,-,,-,-
86,rain of sorrow,-,-,-,-,-,-,-,-,-
87,Secret Rendez-vous,-,-,-,-,-,-,-,-,-
88,SEXY PLANET(FROM NONSTOP MEGAMIX),-,,-,,-,-,,-,-
89,Silent Hill (3rd christmas mix),-,,-,,-,-,,-,-
90,STILL IN MY HEART(MOMO MIX),-,,-,,-,-,,-,-
91,SUPER STAR(FROM NONSTOP MEGAMIX),-,,-,,-,-,,-,-
92,Sweet Sweet ♥ Magic,-,-,-,-,-,-,-,-,-
93,TSUGARU,-,-,-,-,-,-,-,-,-
94,TSUGARU (APPLE MIX),-,,-,,-,-,,-,-
95,WILD RUSH(FROM NONSTOP MEGAMIX),-,,-,,-,-,,-,-
96,革命,-,-,867800,918910,923840,-,-,-,-
97,1998,-,-,-,936780,-,-,-,-,-
98,♥Love²シュガ→♥,-,-,-,-,-,-,-,-,-
99,321STARS,-,-,-,935080,-,-,-,-,-
100,A,-,-,766420,897690,856070,-,-,-,-
101,Across the nightmare,-,-,-,879100,911010,-,-,-,-
102,air,-,-,-,-,-,-,-,-,-
103,AM-3P -303 BASS MIX-,-,-,-,-,-,-,-,-,-
104,bag,-,-,-,953070,-,-,-,-,-
105,BE LOVIN,-,-,-,-,-,-,-,-,-
106,Colors ～for EXTREME～,-,-,-,-,-,-,-,-,-
107,CUTIE CHASER(MORNING MIX),-,-,-,-,-,-,-,-,-
108,Dance Dance Revolution,-,-,-,-,-,-,-,-,-
109,Destiny lovers,-,-,-,777160,-,-,-,-,-
110,DROP THE BOMB(SyS.F. Mix),-,-,-,982340,-,-,-,-,-
111,Frozen Ray ～for EXTREME～,-,-,-,-,-,-,-,-,-
112,Gamelan de Couple,-,-,992710,915430,-,-,-,-,-
113,GRADUATION ～それぞれの明日～,-,-,-,931710,-,-,-,-,-
114,Happy Wedding,-,-,-,-,-,-,-,-,-
115,Heaven is a '57 metallic gray ～gimmix～,-,-,-,-,-,-,-,-,-
116,HYPER EUROBEAT,-,-,-,-,-,-,-,-,-
117,I'm gonna get you!,-,-,-,-,-,-,-,-,-
118,jane jana,-,-,-,-,-,-,-,-,-
119,JET WORLD,-,-,-,-,-,-,-,-,-
120,KISS KISS KISS,-,-,-,-,-,-,-,-,-
121,Kiss me all night long,-,-,-,-,-,-,-,-,-
122,LA BAMBA,-,-,-,-,-,-,-,-,-
123,L'amour et la liberté(DDR Ver.),-,-,-,-,-,-,-,-,-
124,LOVE♥SHINE,-,-,-,947110,-,-,-,-,-
125,Miracle Moon ～L.E.D.LIGHT STYLE MIX～,-,-,-,-,-,-,-,-,-
126,PARANOIA survivor,-,-,-,-,-,-,-,-,-
127,PARANOIA survivor MAX,-,-,826110,677890,-,-,-,-,-
128,Pink Rose,-,-,-,981400,-,-,-,-,-
129,SO IN LOVE,-,-,-,-,-,-,-,-,-
130,STAY (Organic house Version),-,-,-,-,-,-,-,-,-
131,stoic (EXTREME version),-,-,819190,745880,-,-,-,-,-
132,sync (EXTREME version),-,-,782600,-,-,-,-,-,-
133,TEARS,-,-,-,-,-,-,-,-,-
134,The Least 100sec,-,-,-,-,-,-,-,-,-
135,The legend of MAX,-,-,967720,734600,-,-,-,-,-
136,TRIP MACHINE survivor,-,-,-,-,-,-,-,-,-
137,Twin Bee -Generation X-,-,-,-,-,-,-,-,-,-
138,V ～for EXTREME～,-,-,-,876080,928320,-,-,-,-
139,VANITY ANGEL,-,-,-,-,-,-,-,-,-
140,xenon,-,-,-,-,-,-,-,-,-
141,桜,-,816580,737580,887940,874500,-,-,-,-
142,三毛猫ロック,-,-,-,-,-,-,-,-,-
143,蒼い衝動 ～for EXTREME～,-,-,-,-,-,-,-,-,-
144,大見解,-,-,-,865820,802670,-,-,-,-
